0045000806050403 02010c0b0a090807 FFFF 0
000a0100000abd66 1140000000002e00 FFFF 0
050403020100559d 1a003f01d2040200 FFFF 0
33574ea511100f0e 0d0c0b0a09080706 0FFF 1
0045000806050403 02010c0b0a090807 FFFF 0
000a0100000abd66 1140000000002e00 FFFF 0
050403020100559d 1a003f01d2040200 FFFF 0
33574ea511100f0e 0d0c0b0a09080706 0FFF 1
0045000806050403 02010c0b0a090807 FFFF 0
000a0100000abd66 1140000000002e00 FFFF 0
050403020100559d 1a003f01d2040200 FFFF 0
33574ea511100f0e 0d0c0b0a09080706 0FFF 1
